protein,cid
BCL2,5870
BCL2,445154
BCL2,46937002
BCL2,46936193
BCL2,54675858
BCL2,5280961
BCL2,2519
BCL2,2153
BCL2,5429
BCL2,2353
BCL2,5994
BCL2,10235
BCL2,1060
BCL2,5280934
BCL2,6054
BCL2,119205
BCL2,637517
BCL2,996
BCL2,439246
BCL2,3034034
BCL2,1130
BCL2,3893
BCL2,12620
BCL2,444294
BCL2,14985
BCL2,338
BCL2,5280863
BCL2,446220
BCL2,702
BCL2,3776
BCL2,5280343
BCL2,6305
BCL2,107971
BCL2,6274
BCL2,6267
BCL2,5962
BCL2,5862
BCL2,33032
BCL2,1174
BCL2,453551
BCL2,1110
BCL2,938
BCL2,7478
BCL2,10133
BCL2,31401
BCL2,221493
BCL2,79034
BCL2,60961
BCL2,3000322
BCL2,5281672
BCL2,1045
BCL2,199
BCL2,1103
BCL2,785
BCL2,3000346
BCL2,998
BCL2,46936484
BCL2,955
BCL2,243
BCL2,1102
BCL2,971
BCL2,25322948
BCL2,681
BCL2,9996708
BCL2,750
BCL2,444863
BCL2,26470759
BCL2,289
BCL2,8969
BCL2,1054
BCL2,5281855
BCL2,72281
BCL2,54670067
BCL2,145742
BCL2,942
BCL2,3532
BCL2,2230
BCL2,379
BCL2,6137
BCL2,16666
BCL2,5283731
BCL2,5280795
BCL2,3182
BCL2,311
BCL2,6089
BCL2,441074
BCL2,612
BCL2,6057
BCL2,6912
BCL2,5960
BCL2,5951
BCL2,6288
BCL2,6287
BCL2,6106
BCL2,239
BCL2,5950
BCL2,154417
BCL2,6140
BCL2,46936492
BCL2,5978
BCL2,241903
BCL2,6021
BCL2,190
BCL2,790
BCL2,1031
BCL2,445354
BCL2,6037
BCL2,493570
BCL2,448751
BCL2,385
BCL2,760
BCL2,743
BCL2,7054
BCL2,264
BCL2,47936
BCL2,439685
BCL2,5282745
BCL2,2879
BCL2,1032
BCL2,46936757
BCL2,19
BCL2,14969
BCL2,2969
BCL2,6590
BCL2,10430
BCL2,440995
BCL2,439260
BCL2,8617
BCL2,1135
BCL2,7991
BCL2,3715
BCL2,5770
BCL2,1176
BCL2,936
BCL2,12530
BCL2,443884
BCL2,440473
BCL2,1549107
BCL2,174174
BCL2,1491
BCL2,647
BCL2,5326566
BCL2,7997
BCL2,1005
BCL2,757
BCL2,24417
BCL2,46936732
BCL2,1123
BCL2,6047
BCL2,441478
BCL2,6581
BCL2,11047943
BCL2,9294
BCL2,31721
BCL2,3007
BCL2,10836
BCL2,342
BCL2,3631
BCL2,6013
BCL2,6128
BCL2,3662
BCL2,9750
BCL2,5288826
BECN1,5870
BECN1,445154
BECN1,46937002
BECN1,46936193
BECN1,54675858
BECN1,5280961
BECN1,2519
BECN1,2153
BECN1,5429
BECN1,2353
BECN1,5994
BECN1,10235
BECN1,1060
BECN1,5280934
BECN1,6054
BECN1,119205
BECN1,637517
BECN1,996
BECN1,439246
BECN1,3034034
BECN1,1130
BECN1,3893
BECN1,12620
BECN1,444294
BECN1,14985
BECN1,338
BECN1,5280863
BECN1,446220
BECN1,702
BECN1,3776
BECN1,5280343
BECN1,6305
BECN1,107971
BECN1,6274
BECN1,6267
BECN1,5962
BECN1,5862
BECN1,33032
BECN1,1174
BECN1,453551
BECN1,1110
BECN1,938
BECN1,7478
BECN1,10133
BECN1,31401
BECN1,221493
BECN1,79034
BECN1,60961
BECN1,3000322
BECN1,5281672
BECN1,1045
BECN1,199
BECN1,1103
BECN1,785
BECN1,3000346
BECN1,998
BECN1,46936484
BECN1,955
BECN1,243
BECN1,1102
BECN1,971
BECN1,25322948
BECN1,681
BECN1,9996708
BECN1,750
BECN1,444863
BECN1,26470759
BECN1,289
BECN1,8969
BECN1,1054
BECN1,5281855
BECN1,72281
BECN1,54670067
BECN1,145742
BECN1,942
BECN1,3532
BECN1,2230
BECN1,379
BECN1,6137
BECN1,16666
BECN1,5283731
BECN1,5280795
BECN1,3182
BECN1,311
BECN1,6089
BECN1,441074
BECN1,612
BECN1,6057
BECN1,6912
BECN1,5960
BECN1,5951
BECN1,6288
BECN1,6287
BECN1,6106
BECN1,239
BECN1,5950
BECN1,154417
BECN1,6140
BECN1,46936492
BECN1,5978
BECN1,241903
BECN1,6021
BECN1,190
BECN1,790
BECN1,1031
BECN1,445354
BECN1,6037
BECN1,493570
BECN1,448751
BECN1,385
BECN1,760
BECN1,743
BECN1,7054
BECN1,264
BECN1,47936
BECN1,439685
BECN1,5282745
BECN1,2879
BECN1,1032
BECN1,46936757
BECN1,19
BECN1,14969
BECN1,2969
BECN1,6590
BECN1,10430
BECN1,440995
BECN1,439260
BECN1,8617
BECN1,1135
BECN1,7991
BECN1,3715
BECN1,5770
BECN1,1176
BECN1,936
BECN1,12530
BECN1,443884
BECN1,440473
BECN1,1549107
BECN1,174174
BECN1,1491
BECN1,647
BECN1,5326566
BECN1,7997
BECN1,1005
BECN1,757
BECN1,24417
BECN1,46936732
BECN1,1123
BECN1,6047
BECN1,441478
BECN1,6581
BECN1,11047943
BECN1,9294
BECN1,31721
BECN1,3007
BECN1,10836
BECN1,342
BECN1,3631
BECN1,6013
BECN1,6128
BECN1,3662
BECN1,9750
BECN1,5288826
CDN2A,5870
CDN2A,445154
CDN2A,46937002
CDN2A,46936193
CDN2A,54675858
CDN2A,5280961
CDN2A,2519
CDN2A,2153
CDN2A,5429
CDN2A,2353
CDN2A,5994
CDN2A,10235
CDN2A,1060
CDN2A,5280934
CDN2A,6054
CDN2A,119205
CDN2A,637517
CDN2A,996
CDN2A,439246
CDN2A,3034034
CDN2A,1130
CDN2A,3893
CDN2A,12620
CDN2A,444294
CDN2A,14985
CDN2A,338
CDN2A,5280863
CDN2A,446220
CDN2A,702
CDN2A,3776
CDN2A,5280343
CDN2A,6305
CDN2A,107971
CDN2A,6274
CDN2A,6267
CDN2A,5962
CDN2A,5862
CDN2A,33032
CDN2A,1174
CDN2A,453551
CDN2A,1110
CDN2A,938
CDN2A,7478
CDN2A,10133
CDN2A,31401
CDN2A,221493
CDN2A,79034
CDN2A,60961
CDN2A,3000322
CDN2A,5281672
CDN2A,1045
CDN2A,199
CDN2A,1103
CDN2A,785
CDN2A,3000346
CDN2A,998
CDN2A,46936484
CDN2A,955
CDN2A,243
CDN2A,1102
CDN2A,971
CDN2A,25322948
CDN2A,681
CDN2A,9996708
CDN2A,750
CDN2A,444863
CDN2A,26470759
CDN2A,289
CDN2A,8969
CDN2A,1054
CDN2A,5281855
CDN2A,72281
CDN2A,54670067
CDN2A,145742
CDN2A,942
CDN2A,3532
CDN2A,2230
CDN2A,379
CDN2A,6137
CDN2A,16666
CDN2A,5283731
CDN2A,5280795
CDN2A,3182
CDN2A,311
CDN2A,6089
CDN2A,441074
CDN2A,612
CDN2A,6057
CDN2A,6912
CDN2A,5960
CDN2A,5951
CDN2A,6288
CDN2A,6287
CDN2A,6106
CDN2A,239
CDN2A,5950
CDN2A,154417
CDN2A,6140
CDN2A,46936492
CDN2A,5978
CDN2A,241903
CDN2A,6021
CDN2A,190
CDN2A,790
CDN2A,1031
CDN2A,445354
CDN2A,6037
CDN2A,493570
CDN2A,448751
CDN2A,385
CDN2A,760
CDN2A,743
CDN2A,7054
CDN2A,264
CDN2A,47936
CDN2A,439685
CDN2A,5282745
CDN2A,2879
CDN2A,1032
CDN2A,46936757
CDN2A,19
CDN2A,14969
CDN2A,2969
CDN2A,6590
CDN2A,10430
CDN2A,440995
CDN2A,439260
CDN2A,8617
CDN2A,1135
CDN2A,7991
CDN2A,3715
CDN2A,5770
CDN2A,1176
CDN2A,936
CDN2A,12530
CDN2A,443884
CDN2A,440473
CDN2A,1549107
CDN2A,174174
CDN2A,1491
CDN2A,647
CDN2A,5326566
CDN2A,7997
CDN2A,1005
CDN2A,757
CDN2A,24417
CDN2A,46936732
CDN2A,1123
CDN2A,6047
CDN2A,441478
CDN2A,6581
CDN2A,11047943
CDN2A,9294
CDN2A,31721
CDN2A,3007
CDN2A,10836
CDN2A,342
CDN2A,3631
CDN2A,6013
CDN2A,6128
CDN2A,3662
CDN2A,9750
CDN2A,5288826
IGF1,5870
IGF1,445154
IGF1,46937002
IGF1,46936193
IGF1,54675858
IGF1,5280961
IGF1,2519
IGF1,2153
IGF1,5429
IGF1,2353
IGF1,5994
IGF1,10235
IGF1,1060
IGF1,5280934
IGF1,6054
IGF1,119205
IGF1,637517
IGF1,996
IGF1,439246
IGF1,3034034
IGF1,1130
IGF1,3893
IGF1,12620
IGF1,444294
IGF1,14985
IGF1,338
IGF1,5280863
IGF1,446220
IGF1,702
IGF1,3776
IGF1,5280343
IGF1,6305
IGF1,107971
IGF1,6274
IGF1,6267
IGF1,5962
IGF1,5862
IGF1,33032
IGF1,1174
IGF1,453551
IGF1,1110
IGF1,938
IGF1,7478
IGF1,10133
IGF1,31401
IGF1,221493
IGF1,79034
IGF1,60961
IGF1,3000322
IGF1,5281672
IGF1,1045
IGF1,199
IGF1,1103
IGF1,785
IGF1,3000346
IGF1,998
IGF1,46936484
IGF1,955
IGF1,243
IGF1,1102
IGF1,971
IGF1,25322948
IGF1,681
IGF1,9996708
IGF1,750
IGF1,444863
IGF1,26470759
IGF1,289
IGF1,8969
IGF1,1054
IGF1,5281855
IGF1,72281
